timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2024/06/04 15:08:58.864,174,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_03 3-2,text,true,,1025,745,4,8,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,163,0,0
2024/06/04 15:08:59.038,48,/webtours/images/hp_logo.png,200,OK,UC_03 3-2,bin,true,,898,428,4,8,http://localhost:1080/webtours/images/hp_logo.png,48,0,0
2024/06/04 15:08:59.086,1,/webtours/images/webtours.png,200,OK,UC_03 3-2,bin,true,,4486,429,4,8,http://localhost:1080/webtours/images/webtours.png,1,0,0
2024/06/04 15:08:59.087,197,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-2,text,true,,1757,786,4,8,http://localhost:1080/cgi-bin/nav.pl?in=home,183,0,0
2024/06/04 15:08:59.284,47,/WebTours/home.html,200,OK,UC_03 3-2,text,true,,1659,460,4,8,http://localhost:1080/WebTours/home.html,47,0,0
2024/06/04 15:08:59.331,1,/WebTours/images/mer_login.gif,200,OK,UC_03 3-2,bin,true,,976,432,4,8,http://localhost:1080/WebTours/images/mer_login.gif,1,0,0
2024/06/04 15:08:58.821,524,[UC_XX]_Start_Page,200,"Number of samples in transaction : 8, number of failing samples : 0",UC_03 3-4,,true,,12472,4051,4,8,null,0,3,1
2024/06/04 15:08:58.822,2,/webtours/,200,OK,UC_03 3-4,text,true,,664,359,1,2,http://localhost:1080/webtours/,2,0,1
2024/06/04 15:08:58.824,1,/webtours/header.html,200,OK,UC_03 3-4,text,true,,1007,412,1,2,http://localhost:1080/webtours/header.html,1,0,0
2024/06/04 15:08:58.826,308,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_03 3-4,text,true,,1025,745,4,8,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,249,0,0
2024/06/04 15:08:59.134,48,/webtours/images/hp_logo.png,200,OK,UC_03 3-4,bin,true,,898,428,4,8,http://localhost:1080/webtours/images/hp_logo.png,48,0,0
2024/06/04 15:08:59.182,1,/webtours/images/webtours.png,200,OK,UC_03 3-4,bin,true,,4486,429,4,8,http://localhost:1080/webtours/images/webtours.png,1,0,0
2024/06/04 15:08:59.184,116,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-4,text,true,,1757,786,4,8,http://localhost:1080/cgi-bin/nav.pl?in=home,112,0,0
2024/06/04 15:08:59.300,47,/WebTours/home.html,200,OK,UC_03 3-4,text,true,,1659,460,4,8,http://localhost:1080/WebTours/home.html,47,0,0
2024/06/04 15:08:59.347,1,/WebTours/images/mer_login.gif,200,OK,UC_03 3-4,bin,true,,976,432,4,8,http://localhost:1080/WebTours/images/mer_login.gif,1,0,0
2024/06/04 15:08:59.259,496,[UC_XX]_Login,200,"Number of samples in transaction : 7, number of failing samples : 0",UC_01 1-2,,true,,7859,5100,2,8,null,0,8005,1
2024/06/04 15:09:07.261,112,/cgi-bin/login.pl,200,OK,UC_01 1-2,text,true,,865,1043,2,8,http://localhost:1080/cgi-bin/login.pl,73,0,1
2024/06/04 15:09:07.374,166,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_01 1-2,text,true,,1749,904,2,8,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,128,0,0
2024/06/04 15:09:07.541,168,/cgi-bin/login.pl?intro=true,200,OK,UC_01 1-2,text,true,,1159,899,2,8,http://localhost:1080/cgi-bin/login.pl?intro=true,133,0,0
2024/06/04 15:09:07.710,47,/WebTours/images/flights.gif,200,OK,UC_01 1-2,bin,true,,1023,563,2,8,http://localhost:1080/WebTours/images/flights.gif,47,0,0
2024/06/04 15:09:07.757,1,/WebTours/images/itinerary.gif,200,OK,UC_01 1-2,bin,true,,1030,565,2,8,http://localhost:1080/WebTours/images/itinerary.gif,1,0,0
2024/06/04 15:09:07.758,1,/WebTours/images/in_home.gif,200,OK,UC_01 1-2,bin,true,,985,563,2,8,http://localhost:1080/WebTours/images/in_home.gif,1,0,0
2024/06/04 15:09:07.759,1,/WebTours/images/signoff.gif,200,OK,UC_01 1-2,bin,true,,1048,563,2,8,http://localhost:1080/WebTours/images/signoff.gif,1,0,0
2024/06/04 15:08:59.262,506,[UC_XX]_Login,200,"Number of samples in transaction : 7, number of failing samples : 0",UC_01 1-1,,true,,7859,5100,2,8,null,0,8004,1
2024/06/04 15:09:07.263,112,/cgi-bin/login.pl,200,OK,UC_01 1-1,text,true,,865,1043,2,8,http://localhost:1080/cgi-bin/login.pl,78,0,1
2024/06/04 15:09:07.376,180,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_01 1-1,text,true,,1749,904,2,8,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,129,0,0
2024/06/04 15:09:07.557,164,/cgi-bin/login.pl?intro=true,200,OK,UC_01 1-1,text,true,,1159,899,2,8,http://localhost:1080/cgi-bin/login.pl?intro=true,136,0,0
2024/06/04 15:09:07.722,47,/WebTours/images/flights.gif,200,OK,UC_01 1-1,bin,true,,1023,563,2,8,http://localhost:1080/WebTours/images/flights.gif,47,0,0
2024/06/04 15:09:07.769,1,/WebTours/images/itinerary.gif,200,OK,UC_01 1-1,bin,true,,1030,565,2,8,http://localhost:1080/WebTours/images/itinerary.gif,1,0,0
2024/06/04 15:09:07.770,1,/WebTours/images/in_home.gif,200,OK,UC_01 1-1,bin,true,,985,563,2,8,http://localhost:1080/WebTours/images/in_home.gif,1,0,0
2024/06/04 15:09:07.771,1,/WebTours/images/signoff.gif,200,OK,UC_01 1-1,bin,true,,1048,563,2,8,http://localhost:1080/WebTours/images/signoff.gif,1,0,0
2024/06/04 15:08:59.297,489,[UC_XX]_Login,200,"Number of samples in transaction : 7, number of failing samples : 0",UC_03 3-1,,true,,7859,5101,4,8,null,0,8002,1
2024/06/04 15:09:07.297,108,/cgi-bin/login.pl,200,OK,UC_03 3-1,text,true,,865,1044,4,8,http://localhost:1080/cgi-bin/login.pl,103,0,1
2024/06/04 15:09:07.406,161,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_03 3-1,text,true,,1749,904,4,8,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,136,0,0
2024/06/04 15:09:07.568,170,/cgi-bin/login.pl?intro=true,200,OK,UC_03 3-1,text,true,,1159,899,4,8,http://localhost:1080/cgi-bin/login.pl?intro=true,150,0,0
2024/06/04 15:09:07.738,47,/WebTours/images/flights.gif,200,OK,UC_03 3-1,bin,true,,1023,563,4,8,http://localhost:1080/WebTours/images/flights.gif,47,0,0
2024/06/04 15:09:07.785,1,/WebTours/images/itinerary.gif,200,OK,UC_03 3-1,bin,true,,1030,565,4,8,http://localhost:1080/WebTours/images/itinerary.gif,1,0,0
2024/06/04 15:09:07.786,1,/WebTours/images/in_home.gif,200,OK,UC_03 3-1,bin,true,,985,563,4,8,http://localhost:1080/WebTours/images/in_home.gif,1,0,0
2024/06/04 15:09:07.787,1,/WebTours/images/signoff.gif,200,OK,UC_03 3-1,bin,true,,1048,563,4,8,http://localhost:1080/WebTours/images/signoff.gif,1,0,0
2024/06/04 15:08:59.259,531,[UC_XX]_Login,200,"Number of samples in transaction : 7, number of failing samples : 0",UC_03 3-3,,true,,7859,5100,4,8,null,0,8002,1
2024/06/04 15:09:07.261,117,/cgi-bin/login.pl,200,OK,UC_03 3-3,text,true,,865,1043,4,8,http://localhost:1080/cgi-bin/login.pl,81,0,1
2024/06/04 15:09:07.378,180,/cgi-bin/nav.pl?page=menu&in=home,200,OK,UC_03 3-3,text,true,,1749,904,4,8,http://localhost:1080/cgi-bin/nav.pl?in=home&page=menu,140,0,0
2024/06/04 15:09:07.558,184,/cgi-bin/login.pl?intro=true,200,OK,UC_03 3-3,text,true,,1159,899,4,8,http://localhost:1080/cgi-bin/login.pl?intro=true,136,0,0
